id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
2008,2017-01-08,domingo,07:00:00,RN,226.0,"97,8",SANTA CRUZ                                                  ,Não guardar distância de segurança                                                                  ,Colisão traseira                                                                                                                                                                                        ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Não       ,3,0,2,0,1,0,2,2,-6.26108131,-35.91010898,SR-RN               ,DEL15/3                       ,UOP02/RN                      
2023,2017-01-08,domingo,08:20:00,RN,101.0,"96,5",NATAL                                                       ,Pista Escorregadia                                                                                  ,Capotamento                                                                                                                                                                                             ,Com Vítimas Feridas,Pleno dia           ,Decrescente         ,Garoa/Chuvisco      ,Simples             ,Curva                         ,Sim       ,1,0,1,0,0,0,1,1,-5.84939843,-35.2071771,SR-RN               ,DEL15/1                       ,UOP01/RN                      
2036,2017-01-08,domingo,08:30:00,RN,405.0,"162,3",RAFAEL FERNANDES                                            ,Ingestão de Álcool                                                                                  ,Colisão frontal                                                                                                                                                                                         ,Com Vítimas Fatais,Pleno dia           ,Crescente           ,Sol                 ,Simples             ,Curva                         ,Não       ,4,1,0,1,2,0,1,2,-6.20671902,-38.22753467,SR-RN               ,DEL15/4                       ,UOP02/RN                      
2050,2017-01-08,domingo,10:35:00,RN,101.0,"96,4",NATAL                                                       ,Mal Súbito                                                                                          ,Colisão traseira                                                                                                                                                                                        ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Céu Claro           ,Múltipla            ,Reta                          ,Sim       ,2,0,1,0,1,0,1,2,-5.84456889,-35.20896614,SR-RN               ,DEL15/1                       ,UOP01/RN                      
2170,2017-01-08,domingo,18:30:00,RN,406.0,"169,2",SAO GONCALO DO AMARANTE                                     ,Ingestão de Álcool                                                                                  ,Colisão traseira                                                                                                                                                                                        ,Sem Vítimas,Anoitecer           ,Crescente           ,Céu Claro           ,Dupla               ,Reta                          ,Sim       ,2,0,0,0,2,0,0,2,-5.75514133,-35.30905277,SR-RN               ,DEL15/2                       ,UOP01/RN                      
2324,2017-01-09,segunda-feira,07:30:00,RN,101.0,112,SAO JOSE DE MIPIBU                                          ,Avarias e/ou desgaste excessivo no pneu                                                             ,Tombamento                                                                                                                                                                                              ,Com Vítimas Feridas,Pleno dia           ,Decrescente         ,Nublado             ,Dupla               ,Desvio Temporário             ,Não       ,2,0,2,0,0,0,2,1,-5.7792569,-35.200916,SR-RN               ,DEL15/1                       ,UOP01/RN                      
2570,2017-01-10,terça-feira,07:25:00,RN,101.0,"82,8",NATAL                                                       ,Não guardar distância de segurança                                                                  ,Colisão traseira                                                                                                                                                                                        ,Com Vítimas Feridas,Pleno dia           ,Decrescente         ,Céu Claro           ,Dupla               ,Reta                          ,Sim       ,3,0,0,2,1,0,2,2,-5.77144296,-35.26516378,SR-RN               ,DEL15/2                       ,UOP01/RN                      
2577,2017-01-10,terça-feira,09:40:00,RN,226.0,68,SERRA CAIADA                                                ,Falta de Atenção à Condução                                                                         ,Colisão frontal                                                                                                                                                                                         ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Interseção de vias            ,Não       ,2,0,0,1,1,0,1,2,-6.1022,-35.7036,SR-RN               ,DEL15/1                       ,UOP02/RN                      
2622,2017-01-10,terça-feira,14:15:00,RN,304.0,43,MOSSORO                                                     ,Pista Escorregadia                                                                                  ,Queda de ocupante de veículo                                                                                                                                                                            ,Com Vítimas Feridas,Pleno dia           ,Decrescente         ,Garoa/Chuvisco      ,Dupla               ,Não Informado                 ,Sim       ,2,0,1,0,1,0,1,2,-5.21773238,-37.36547559,SR-RN               ,DEL15/4                       ,UOP01/RN                      
2842,2017-01-11,quarta-feira,08:30:00,RN,110.0,"82,1",UPANEMA                                                     ,Defeito Mecânico no Veículo                                                                         ,Incêndio                                                                                                                                                                                                ,Sem Vítimas,Pleno dia           ,Decrescente         ,Céu Claro           ,Simples             ,Reta                          ,Não       ,1,0,0,0,1,0,0,1,-5.501372,-37.32595,SR-RN               ,DEL15/4                       ,UOP01/RN                      
2971,2017-01-11,quarta-feira,20:37:00,RN,304.0,297,MACAIBA                                                     ,Velocidade Incompatível                                                                             ,Colisão lateral                                                                                                                                                                                         ,Com Vítimas Feridas,Plena Noite         ,Crescente           ,Céu Claro           ,Dupla               ,Reta                          ,Não       ,2,0,1,0,0,1,1,2,-5.86487936,-35.34254819,SR-RN               ,DEL15/1                       ,UOP02/RN                      
2998,2017-01-11,quarta-feira,08:00:00,RN,304.0,232,RIACHUELO                                                   ,Velocidade Incompatível                                                                             ,Saída de leito carroçável                                                                                                                                                                               ,Sem Vítimas,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Curva                         ,Não       ,1,0,0,0,0,1,0,1,-5.7522,-35.8902,SR-RN               ,DEL15/1                       ,UOP02/RN                      
3010,2017-01-12,quinta-feira,00:30:00,RN,110.0,96,UPANEMA                                                     ,Animais na Pista                                                                                    ,Atropelamento de Animal                                                                                                                                                                                 ,Sem Vítimas,Plena Noite         ,Decrescente         ,Céu Claro           ,Simples             ,Reta                          ,Não       ,1,0,0,0,1,0,0,1,-5.0,-37.0,SR-RN               ,DEL15/4                       ,UOP01/RN                      
3037,2017-01-12,quinta-feira,05:40:00,RN,101.0,"111,8",SAO JOSE DE MIPIBU                                          ,Condutor Dormindo                                                                                   ,Capotamento                                                                                                                                                                                             ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Sol                 ,Dupla               ,Desvio Temporário             ,Não       ,1,0,0,1,0,0,1,1,-5.95708897,-35.26489288,SR-RN               ,DEL15/1                       ,UOP01/RN                      
3048,2017-01-12,quinta-feira,07:15:00,RN,101.0,"111,9",PARNAMIRIM                                                  ,Restrição de Visibilidade                                                                           ,Colisão traseira                                                                                                                                                                                        ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Não       ,2,0,1,0,1,0,1,2,-5.95952193,-35.26484728,SR-RN               ,DEL15/1                       ,UOP01/RN                      
3064,2017-01-12,quinta-feira,08:15:00,RN,110.0,"45,8",MOSSORO                                                     ,Falta de Atenção à Condução                                                                         ,Colisão traseira                                                                                                                                                                                        ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Sim       ,2,0,1,0,1,0,1,2,-5.234938,-37.3185422,SR-RN               ,DEL15/4                       ,UOP01/RN                      
3244,2017-01-12,quinta-feira,19:48:00,RN,304.0,25,MOSSORO                                                     ,Desobediência às normas de trânsito pelo condutor                                                   ,Colisão frontal                                                                                                                                                                                         ,Com Vítimas Feridas,Plena Noite         ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Não       ,2,0,1,0,1,0,1,2,-5.0758,-37.3324,SR-RN               ,DEL15/4                       ,UOP02/RN                      
3247,2017-01-12,quinta-feira,21:40:00,RN,304.0,294,MACAIBA                                                     ,Não guardar distância de segurança                                                                  ,Colisão traseira                                                                                                                                                                                        ,Sem Vítimas,Plena Noite         ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Sim       ,2,0,0,0,2,0,0,2,-5.86828927,-35.37485272,SR-RN               ,DEL15/1                       ,UOP02/RN                      
3380,2017-01-13,sexta-feira,11:50:00,RN,304.0,296,MACAIBA                                                     ,Desobediência às normas de trânsito pelo condutor                                                   ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Sol                 ,Simples             ,Interseção de vias            ,Sim       ,2,0,1,0,1,0,1,2,-5.86533197,-35.35304099,SR-RN               ,DEL15/1                       ,UOP02/RN                      
3386,2017-01-13,sexta-feira,12:55:00,RN,304.0,48,MOSSORO                                                     ,Desobediência às normas de trânsito pelo condutor                                                   ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Céu Claro           ,Dupla               ,Retorno Regulamentado         ,Sim       ,4,0,3,0,1,0,3,2,-5.2308,-37.3208,SR-RN               ,DEL15/4                       ,UOP01/RN                      
3448,2017-01-13,sexta-feira,16:20:00,RN,304.0,"297,7",MACAIBA                                                     ,Falta de Atenção à Condução                                                                         ,Colisão lateral                                                                                                                                                                                         ,Sem Vítimas,Pleno dia           ,Decrescente         ,Céu Claro           ,Simples             ,Rotatória                     ,Sim       ,2,0,0,0,2,0,0,2,-5.86434573,-35.34590095,SR-RN               ,DEL15/1                       ,UOP02/RN                      
3450,2017-01-13,sexta-feira,13:50:00,RN,304.0,35,MOSSORO                                                     ,Desobediência às normas de trânsito pelo condutor                                                   ,Colisão lateral                                                                                                                                                                                         ,Sem Vítimas,Pleno dia           ,Decrescente         ,Céu Claro           ,Simples             ,Rotatória                     ,Sim       ,4,0,0,0,4,0,0,2,-5.16517898,-37.35110539,SR-RN               ,DEL15/4                       ,UOP02/RN                      
3514,2017-01-13,sexta-feira,18:30:00,RN,226.0,"2,7",NATAL                                                       ,Ultrapassagem Indevida                                                                              ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Plena Noite         ,Decrescente         ,Céu Claro           ,Simples             ,Reta                          ,Sim       ,3,0,1,1,1,0,2,3,-5.818976999999999,-35.250796,SR-RN               ,DEL15/1                       ,UOP02/RN                      
3707,2017-01-14,sábado,11:50:00,RN,304.0,"106,4",ACU                                                         ,Falta de Atenção à Condução                                                                         ,Colisão traseira                                                                                                                                                                                        ,Com Vítimas Feridas,Pleno dia           ,Decrescente         ,Sol                 ,Simples             ,Reta                          ,Não       ,3,0,1,1,0,1,2,2,-5.5883095,-36.96828604,SR-RN               ,DEL15/4                       ,UOP01/RN                      
3958,2017-01-15,domingo,07:50:00,RN,405.0,3,MOSSORO                                                     ,Desobediência às normas de trânsito pelo condutor                                                   ,Colisão transversal                                                                                                                                                                                     ,Sem Vítimas,Pleno dia           ,Crescente           ,Sol                 ,Simples             ,Viaduto                       ,Sim       ,2,0,0,0,2,0,0,2,-5.19374466,-37.38019179999999,SR-RN               ,DEL15/4                       ,UOP02/RN                      
4204,2017-01-15,domingo,22:40:00,RN,304.0,24,MOSSORO                                                     ,Ingestão de Álcool                                                                                  ,Saída de leito carroçável                                                                                                                                                                               ,Com Vítimas Feridas,Plena Noite         ,Decrescente         ,Céu Claro           ,Dupla               ,Rotatória                     ,Não       ,2,0,1,0,0,1,1,1,-5.06672848,-37.33105816,SR-RN               ,DEL15/4                       ,UOP02/RN                      
4207,2017-01-15,domingo,23:30:00,RN,304.0,"283,9",MACAIBA                                                     ,Ingestão de Álcool                                                                                  ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Plena Noite         ,Crescente           ,Céu Claro           ,Simples             ,Interseção de vias            ,Não       ,2,0,0,1,1,0,1,2,-5.88527981,-35.47524512,SR-RN               ,DEL15/1                       ,UOP02/RN                      
4221,2017-01-15,domingo,22:40:00,RN,304.0,197,LAJES                                                       ,Animais na Pista                                                                                    ,Atropelamento de Animal                                                                                                                                                                                 ,Sem Vítimas,Pleno dia           ,Decrescente         ,Céu Claro           ,Simples             ,Reta                          ,Não       ,1,0,0,0,1,0,0,1,-5.7126,-36.1946,SR-RN               ,DEL15/1                       ,UOP03/RN                      
4372,2017-01-16,segunda-feira,09:00:00,RN,427.0,68,JARDIM DO SERIDO                                            ,Condutor Dormindo                                                                                   ,Saída de leito carroçável                                                                                                                                                                               ,Com Vítimas Fatais,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Não       ,2,1,0,0,0,1,0,1,-6.5634,-36.8795,SR-RN               ,DEL15/3                       ,UOP01/RN                      
4400,2017-01-16,segunda-feira,15:40:00,RN,101.0,"110,9",PARNAMIRIM                                                  ,Falta de Atenção à Condução                                                                         ,Colisão lateral                                                                                                                                                                                         ,Com Vítimas Feridas,Pleno dia           ,Decrescente         ,Nublado             ,Dupla               ,Reta                          ,Sim       ,2,0,1,0,1,0,1,2,-5.949833,-35.264734999999995,SR-RN               ,DEL15/1                       ,UOP01/RN                      
4434,2017-01-16,segunda-feira,18:20:00,RN,304.0,36,MOSSORO                                                     ,Animais na Pista                                                                                    ,Atropelamento de Animal                                                                                                                                                                                 ,Com Vítimas Feridas,Plena Noite         ,Decrescente         ,Céu Claro           ,Dupla               ,Reta                          ,Sim       ,1,0,1,0,0,0,1,1,-5.177402900000001,-37.36497939,SR-RN               ,DEL15/4                       ,UOP02/RN                      
4456,2017-01-16,segunda-feira,19:45:00,RN,101.0,"122,4",SAO JOSE DE MIPIBU                                          ,Falta de Atenção à Condução                                                                         ,Tombamento                                                                                                                                                                                              ,Com Vítimas Feridas,Plena Noite         ,Crescente           ,Céu Claro           ,Dupla               ,Reta                          ,Sim       ,1,0,1,0,0,0,1,1,-6.052803,-35.2437,SR-RN               ,DEL15/1                       ,UOP01/RN                      
4922,2017-01-18,quarta-feira,22:20:00,RN,406.0,152,CEARA-MIRIM                                                 ,Animais na Pista                                                                                    ,Atropelamento de Animal                                                                                                                                                                                 ,Com Vítimas Feridas,Plena Noite         ,Decrescente         ,Céu Claro           ,Simples             ,Reta                          ,Não       ,1,0,1,0,0,0,1,1,-5.66101575,-35.41321099,SR-RN               ,DEL15/2                       ,UOP01/RN                      
5156,2017-01-19,quinta-feira,20:00:00,RN,406.0,"35,9",GUAMARE                                                     ,Falta de Atenção à Condução                                                                         ,Colisão frontal                                                                                                                                                                                         ,Com Vítimas Fatais,Plena Noite         ,Decrescente         ,Nublado             ,Simples             ,Reta                          ,Não       ,2,1,0,0,1,0,0,2,-5.25996173,-36.34527465,SR-RN               ,DEL15/2                       ,UOP01/RN                      
5270,2017-01-01,domingo,18:30:00,RN,304.0,30,MOSSORO                                                     ,Ultrapassagem Indevida                                                                              ,Colisão frontal                                                                                                                                                                                         ,Com Vítimas Feridas,Plena Noite         ,Decrescente         ,Céu Claro           ,Simples             ,Não Informado                 ,Sim       ,2,0,0,1,1,0,1,2,-5.1215,-37.342,SR-RN               ,DEL15/4                       ,UOP02/RN                      
5404,2017-01-20,sexta-feira,19:00:00,RN,304.0,35,MOSSORO                                                     ,Sinalização da via insuficiente ou inadequada                                                       ,Colisão lateral                                                                                                                                                                                         ,Sem Vítimas,Plena Noite         ,Crescente           ,Céu Claro           ,Simples             ,Rotatória                     ,Sim       ,2,0,0,0,2,0,0,2,-5.16476662,-37.35168743,SR-RN               ,DEL15/4                       ,UOP02/RN                      
5541,2017-01-21,sábado,08:10:00,RN,304.0,41,MOSSORO                                                     ,Falta de Atenção à Condução                                                                         ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Pleno dia           ,Decrescente         ,Céu Claro           ,Dupla               ,Reta                          ,Não       ,3,0,2,0,1,0,2,2,-5.20592069,-37.37578869,SR-RN               ,DEL15/4                       ,UOP01/RN                      
5568,2017-01-21,sábado,11:00:00,RN,101.0,"79,7",SAO GONCALO DO AMARANTE                                     ,Falta de Atenção à Condução                                                                         ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Pleno dia           ,Decrescente         ,Céu Claro           ,Dupla               ,Reta                          ,Não       ,3,0,0,2,1,0,2,2,-5.75344448,-35.28873503,SR-RN               ,DEL15/2                       ,UOP01/RN                      
5626,2017-01-21,sábado,16:00:00,RN,304.0,"193,8",LAJES                                                       ,Falta de Atenção à Condução                                                                         ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Pleno dia           ,Decrescente         ,Céu Claro           ,Simples             ,Reta                          ,Sim       ,2,0,0,1,1,0,1,2,-5.706365,-36.224969,SR-RN               ,DEL15/1                       ,UOP03/RN                      
5811,2017-01-22,domingo,09:40:00,RN,101.0,"111,9",SAO JOSE DE MIPIBU                                          ,Falta de Atenção à Condução                                                                         ,Queda de ocupante de veículo                                                                                                                                                                            ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Nublado             ,Dupla               ,Desvio Temporário             ,Não       ,2,0,1,1,0,0,2,1,-5.9584335,-35.26477218,SR-RN               ,DEL15/1                       ,UOP01/RN                      
6000,2017-01-22,domingo,19:50:00,RN,101.0,102,PARNAMIRIM                                                  ,Ingestão de Álcool                                                                                  ,Saída de leito carroçável                                                                                                                                                                               ,Sem Vítimas,Plena Noite         ,Decrescente         ,Chuva               ,Dupla               ,Reta                          ,Sim       ,1,0,0,0,1,0,0,1,-5.8884,-35.2403,SR-RN               ,DEL15/1                       ,UOP01/RN                      
6010,2017-01-22,domingo,22:10:00,RN,304.0,"33,3",MOSSORO                                                     ,Objeto estático sobre o leito carroçável                                                            ,Colisão com objeto estático                                                                                                                                                                             ,Com Vítimas Feridas,Plena Noite         ,Crescente           ,Céu Claro           ,Dupla               ,Reta                          ,Sim       ,2,0,1,0,1,0,1,2,-5.14130184,-37.34637558,SR-RN               ,DEL15/4                       ,UOP02/RN                      
6118,2017-01-23,segunda-feira,11:45:00,RN,304.0,"243,6",RIACHUELO                                                   ,Defeito Mecânico no Veículo                                                                         ,Saída de leito carroçável                                                                                                                                                                               ,Sem Vítimas,Pleno dia           ,Crescente           ,Nublado             ,Simples             ,Não Informado                 ,Não       ,2,0,0,0,2,0,0,1,-5.8156072,-35.8162744,SR-RN               ,DEL15/1                       ,UOP02/RN                      
